"Post ID","Account ID","Account username","Account name","Description","Duration (sec)","Publish time","Permalink","Post type","Data comment","Date","Views","Reach","Likes","Shares","Follows","Comments","Saves"
1001,2001,lumina_aesthetics,"Lumina Jewelry","Sound ON ✨ Packing a $500 solid gold order. The snap of this velvet box is everything. #asmr #jewelrypackaging #goldjewelry #unboxing #packanorderwithme",15,"03/17/2026 19:30",https://inst.ag/1,"IG reel",,Lifetime,18500,14200,1240,115,45,89,410
1002,2001,lumina_aesthetics,"Lumina Jewelry","Restocked our silver rings. Link in bio to buy.",0,"03/16/2026 10:15",https://inst.ag/2,"IG image",,Lifetime,1200,800,52,1,0,2,1
1003,2001,lumina_aesthetics,"Lumina Jewelry","Which ring stack matches your vibe? ☁️ 1, 2, or 3? Drop your favorite in the comments! #ringstack #silverjewelry #everydaystyle #minimalistring #jewelryaddict",8,"03/14/2026 18:45",https://inst.ag/3,"IG reel",,Lifetime,8900,6500,610,34,12,145,185
1004,2001,lumina_aesthetics,"Lumina Jewelry","New collection is live.",10,"03/12/2026 08:00",https://inst.ag/4,"IG reel",,Lifetime,950,600,68,2,0,1,3
1005,2001,lumina_aesthetics,"Lumina Jewelry","Up close and personal with our best-selling diamond tennis bracelet 💎 Look at that sparkle under the sun! #tennisbracelet #diamondjewelry #luxuryaesthetic #finejewelry",12,"03/10/2026 19:00",https://inst.ag/5,"IG reel",,Lifetime,11200,9800,890,75,22,45,290
1006,2001,lumina_aesthetics,"Lumina Jewelry","Here is a photo of the new necklace.",0,"03/08/2026 14:30",https://inst.ag/6,"IG image",,Lifetime,850,500,41,0,0,0,2
1007,2001,lumina_aesthetics,"Lumina Jewelry","Styling the chunky gold hoops for a coffee date ☕️✨ Keep it simple, keep it elegant. #goldhoops #jewelrystyling #cleangirlaesthetic #everydayjewelry",9,"03/05/2026 18:00",https://inst.ag/7,"IG reel",,Lifetime,7600,5200,540,28,8,34,150
1008,2001,lumina_aesthetics,"Lumina Jewelry","Earrings.",0,"03/02/2026 11:00",https://inst.ag/8,"IG carousel",,Lifetime,600,400,32,0,0,1,0
1009,2001,lumina_aesthetics,"Lumina Jewelry","Behind the scenes making our custom name necklaces 🛠️✨ Pure 14k gold being polished to perfection. #customjewelry #jewelrymaking #behindthescenes #goldnecklace",20,"02/28/2026 19:15",https://inst.ag/9,"IG reel",,Lifetime,14500,11000,980,105,38,67,310
1010,2001,lumina_aesthetics,"Lumina Jewelry","We have a sale going on right now.",8,"02/25/2026 09:30",https://inst.ag/10,"IG reel",,Lifetime,1100,750,85,3,0,4,5
